idea_id,prioridad,tipo,nicho,tipo_y_tamano,decisor,dolor_principal,herramientas_actuales,senales_publicas,donde_encontrar,directorio_o_enlace,oferta_inicial,mensaje_posicionamiento,objecion_previsible,precio_razonable,ciclo_comercial
N-04,1,"nicho de entrada","Tiendas Shopify espanolas con inversion publicitaria alta","Ecommerce de 3.000-30.000 EUR/mes en anuncios","Propietario o responsable de marketing","Desde el 26/08/2026 el seguimiento de conversiones se rompe en silencio","Pixel pegado en Additional Scripts","Tienda detectable como Shopify y con anuncios activos en la biblioteca de Meta","Cruce de tiendas Shopify espanolas con la biblioteca de anuncios de Meta","https://trends.builtwith.com/shop/country/Spain","Auditoria de migracion por 300-600 EUR","Te decimos cada dia si Meta y Google estan viendo tus ventas de verdad","Mi agencia ya lo ha revisado","79-149 EUR/mes tras la auditoria","3-20 dias"
N-04,1,"canal","Agencias de medios y de Shopify","Agencia de 3-20 personas con cartera de tiendas","Director de la agencia","Sus clientes van a culparla del bajon de resultados","Revision manual","Agencias partner de Shopify y agencias de Meta","Red propia del fundador (04_Agencia) y directorio de partners","https://www.shopify.com/es/partners/directory","Auditoria en blanco para 3 clientes suyos","Protege tus cuentas antes del 26 de agosto","Lo hacemos internamente","Reparto por cliente auditado","3-10 dias"
N-04,2,"nicho secundario","Tiendas Shopify Plus que ya sufrieron el bloqueo del 13/08","Ecommerce mediano","Responsable de ecommerce","Ya tienen el problema encima, no en el futuro","Migracion a medias","Bloqueo duro activo desde el 13/08/2026","Prensa sectorial y foros de Shopify","https://community.shopify.com/","Diagnostico urgente","Comprueba que no perdiste conversiones el 13 de agosto","Ya lo migramos","400-800 EUR de auditoria","1-7 dias"
N-04,9,"anti-nicho","Tiendas sin inversion publicitaria","Ecommerce pequeno","-","No miden nada, no pierden nada","-","-","-","-","No vender","-","-","-","-"
N-09,1,"nicho de entrada","Talleres de chapa y pintura","5-25 empleados","Propietario o jefe de taller","Expedientes aprobados por aseguradora que quedan sin cobrar","Hoja de calculo y llamadas","Talleres con convenio con aseguradoras anunciado en su web","Asociaciones provinciales de talleres y distribuidores de recambios","https://www.cetraa.com/","Revision gratuita de expedientes del ultimo trimestre","Lo que la aseguradora aprobo y nunca te pago","Eso ya lo lleva mi administrativa","79-149 EUR/mes o porcentaje de lo recuperado","14-45 dias"
N-09,9,"anti-nicho","Talleres de red de concesionario","Cualquier tamano","-","La facturacion a aseguradora esta centralizada en la marca","-","-","-","-","No vender","-","-","-","-"
N-06,1,"nicho de entrada","Franquiciadores con 30-200 locales","Franquicia de restauracion, retail o servicios","Director de marketing o de expansion","No controla como piden resenas sus franquiciados y arriesga suspensiones","Panel de Google y hojas de calculo","Red de locales publicada en su web","Asociacion Espanola de Franquiciadores","https://www.franquiciadores.com/","Auditoria de riesgo de politica en 10 locales","Un franquiciado incumpliendo puede tumbar el perfil de toda la red","Nunca nos ha pasado","199-499 EUR/mes por red","30-90 dias"
N-06,2,"nicho secundario","Agencias de marketing local","3-20 personas","Director","Sus clientes pierden resenas y les culpan","BrightLocal o similar","Cartera de negocios locales","Red propia","-","Prueba en 20 ubicaciones","Detecta borrados antes de que te lo pregunte el cliente","Ya pagamos BrightLocal","49-99 EUR/mes","7-30 dias"
N-01,0,"descartado - documentado para no repetir","Transportistas autonomos","1-10 vehiculos","Titular de la autorizacion","DeCA obligatorio el 5/10/2026","Papel","154.101 empresas registradas","Asociaciones (Fenadismer, CETM, Froet, Guitrans)","https://www.fenadismerencarretera.com/","-","-","Ya tengo proveedor a 9,90 EUR/mes","-","-"
N-02,0,"descartado - documentado para no repetir","Empresas de autocar discrecional","Pymes de autobus","Gerente","Hoja de ruta digital el 5/10/2026","Papel","~2.000 empresas asociadas a CONFEBUS","CONFEBUS y federaciones territoriales","https://confebus.org/","-","-","Ya uso RutaBUS de mi patronal","-","-"
