source_id,url,titulo,fecha_publicacion,fecha_consulta,pais,tipo_fuente,señal,apoya,refuta,fiabilidad
S001,https://glovoapp.com/docs/es/legal/terms-partners/,"Condiciones legales de Glovo para partners",n/d,2026-08-12,ES,"contrato/fuente primaria","Comision sobre ventas brutas sin deducir devoluciones; 5 EUR+IVA por cancelacion imputable; 0,25 EUR/min por demora hasta 2,5 EUR; hasta 30% del valor + coste total en entrega incorrecta; reclamacion solo dentro de 1 mes natural",ID-01,,alta
S002,https://help.uber.com/en/merchants-and-restaurants/article/managing-refunds-for-missing-or-incorrect-orders?nodeId=abc0c3e7-9687-4a00-a956-2c8a16cf0b7e,"Managing refunds for missing or incorrect orders (Uber Eats)",n/d,2026-08-12,US/ES,"centro de ayuda/fuente primaria","Disputas de order errors: plazo de 30 dias desde el pedido; herramienta self-serve en Uber Eats Manager; resolucion 5-14 dias habiles",ID-01,,alta
S003,https://help.uber.com/en/merchants-and-restaurants/article/descarga-los-informes-completos-de-los-detalles-del-pago?nodeId=9b436c1f-485a-46d9-9361-12fec294c368,"Download comprehensive Payment Details Reports (Uber Eats)",n/d,2026-08-12,US/ES,"centro de ayuda/fuente primaria","El restaurante puede descargar informes de detalle de pago por rangos de hasta 31 dias: viabilidad del MVP sin API",ID-01,,alta
S004,https://www.restaurantbusinessonline.com/technology/restaurants-say-theyre-bearing-brunt-delivery-chargebacks,"Restaurants say they're bearing the brunt of delivery chargebacks",n/d,2026-08-12,US,"prensa sectorial","CEO de Voosh: 2,5-3% de la facturacion total atrapada en disputas; franquiciado de McDonald's reclama ~500 USD por local y mes",ID-01,,media-alta
S005,https://www.voosh.ai/,"Voosh - Third-Party Dispute Resolution and Reconciliation",n/d,2026-08-12,US,"competidor","Categoria consolidada en EE.UU.: disputas + conciliacion de payouts automatizadas",ID-01,ID-01 (escalado a EE.UU.),media
S006,https://www.deliverect.com/en/reclaim-by-deliverect,"Reclaim by Deliverect - Recover revenue lost to inaccurate refund claims",n/d,2026-08-12,BE/US,"competidor","Un actor grande del sector (Deliverect) ha lanzado producto especifico de recuperacion",ID-01,ID-01 (riesgo de entrada en ES),media
S007,https://www.revguard.net/,"RevGuard - Recover Lost Delivery Revenue Automatically",n/d,2026-08-12,US,"competidor","Tercer actor en la misma categoria en EE.UU.",ID-01,ID-01 (escalado a EE.UU.),media
S008,https://www.deliverguard.io/delivery-reconciliation-calculator,"Free Delivery Revenue Loss Calculator (2026) - DeliverGuard",2026,2026-08-12,US,"competidor","Existe hasta calculadora de perdida: madurez de la categoria en EE.UU.",ID-01,ID-01 (escalado a EE.UU.),media
S009,https://qamarero.com/blog/cuanto-cobra-glovo-restaurantes/,"Cuanto cobra Glovo a los restaurantes: comisiones y guia",n/d,2026-08-12,ES,"blog de competidor/vendor","Comisiones reales 25-35%; reembolsos a clientes 100% a cargo del restaurante; recomienda revisar liquidaciones para conocer la comision efectiva",ID-01,,baja-media
S010,https://commandeici.com/es/blogs/guia-restaurante/comision-glovo-tarifas-condiciones-restaurantes,"Comision Glovo: tarifas y condiciones para restaurantes 2026",2026,2026-08-12,ES,"blog de vendor","Comisiones variables en tiempo real entre 15% y 35% segun demanda: imprevisibilidad financiera",ID-01,,baja-media
S011,https://www.revistahosteleria.com/texto-diario/mostrar/4769420/22-ventas-restaurantes-espana-delivery-take-away,"El 22% de las ventas de los restaurantes en Espana son para delivery o take away (KPMG)",2024,2026-08-12,ES,"prensa sectorial","Tamano del canal delivery+takeaway sobre ventas de restauracion",ID-01,,media-alta
