idea_id,nombre,problema,nicho,comprador,alternativa,por_que_ahora,mvp,precio,canal,score_base,penalizaciones,score_final,confianza,riesgo,estado
ID-01,CUADRE,"El restaurante no revisa las liquidaciones de las plataformas de delivery y asume penalizaciones, cargos por error y comision sobre pedidos reembolsados que podria reclamar","Restauracion con 2-15 locales y >5.000 EUR/mes en delivery","Propietario o director de operaciones","Revision manual en Excel o ninguna revision","La reclamacion caduca en 30 dias (Uber Eats) o 1 mes natural (Glovo) y las comisiones reales del 25-35% han estrechado el margen","Subida de liquidaciones, parseo, deteccion de anomalias e informe de reclamacion","25-30% de lo recuperado o 79-149 EUR/local/mes","Red personal + apps de delivery por ciudad + asociaciones de hosteleria",86,-10,76,media,"Que la fuga media por local en Espana sea inferior a 150 EUR/mes",FINALISTA
ID-02,SAC28,"Las empresas obligadas por la Ley 10/2025 no pueden demostrar plazos de respuesta, clave identificativa ni evaluacion anual de calidad antes del 28/12/2026","Comercializadoras de energia, operadores locales de telecomunicaciones y empresas de +250 empleados que venden a consumidor","Responsable de atencion al cliente o de cumplimiento","Buzon de correo compartido, Excel y CRM generalista","Fecha limite legal 28/12/2026 y auditoria anual obligatoria por entidad acreditada ENAC","Registro de quejas con clave unica, relojes de SLA (2h/5d/15d) y expediente de evidencias","149-349 EUR/mes + 600-1.200 EUR de implantacion","Censos publicos de CNMC + LinkedIn + consultoras de cumplimiento",73,-13,60,media,"Ciclo comercial largo y prevalencia de la normativa sectorial en energia y telecomunicaciones",FINALISTA
ID-03,PMST Express,"Los centros de trabajo de mas de 200 empleados deben tener y registrar un Plan de Movilidad Sostenible al Trabajo antes del 5/12/2026","Empresas industriales, hospitales, universidades y entidades publicas con centros de +200 trabajadores","Responsable de RRHH, sostenibilidad o prevencion","Consultora de movilidad (proyecto a medida) o guia oficial gratuita","RD-ley 7/2026 adelanto la fecha limite un ano, al 5/12/2026","Encuesta de movilidad a plantilla + generador de plan + informe para EDIM","900-1.800 EUR por centro + 45-90 EUR/mes de seguimiento","Listados de grandes empleadores, poligonos, sector publico y asociaciones empresariales",65,-13,52,media-baja,"La sancion es leve (101-2.000 EUR): muchas empresas incumpliran sin consecuencia",FINALISTA
ID-16,CUADRE OTA,"El hotel o gestor de apartamentos no verifica las comisiones de Booking y Expedia sobre cancelaciones, no-shows e importes con impuestos","Hoteles independientes y gestores de 20-200 apartamentos turisticos","Propietario o revenue manager","Revision manual en Excel","Mismo motor tecnico que ID-01 aplicado a otro flujo de liquidaciones","Reutilizacion del motor de conciliacion con reglas de OTA","79-199 EUR/mes","Red personal + directorios de gestores de apartamentos",78,-12,66,media-baja,"Riesgo de dispersar el foco antes de validar ID-01","EXTENSION DE ID-01 (no proyecto independiente)"
ID-04,CAE Ready,"Las subcontratas y sus tecnicos de PRL pierden 5-15 h/semana subiendo la misma documentacion a decenas de plataformas CAE distintas","Empresas de mantenimiento, instalacion y limpieza que trabajan para grandes clientes","Responsable de PRL o administracion","Externalizar a consultora (3.000-8.000 EUR/ano) o hacerlo a mano","Presion regulatoria y documental creciente en 2026","Boveda documental con caducidades, alertas y packs por cliente","49-99 EUR/mes","Servicios de prevencion ajenos (registro publico) y asociaciones sectoriales",62,-12,50,media,"Mercado con mas de 15 plataformas y planes gratuitos; automatizar subidas a portales de terceros roza sus condiciones de uso",DESCARTADO-VIGILAR
ID-05,Recogida trimestral,"Las asesorias persiguen a sus clientes por WhatsApp para conseguir facturas cada trimestre","Asesorias y gestorias de 3-20 empleados","Socio de la asesoria","Perseguir a mano por WhatsApp y correo","Ninguna razon nueva: dolor estructural","Bot de recepcion por WhatsApp con OCR y carpeta por cliente","99-199 EUR/mes","Colegios profesionales y directorios",60,-12,48,media,"Ya hay al menos dos startups espanolas atacandolo y los ERPs contables lo integran",DESCARTADO
ID-06,Plan Cero,"Los operadores de la cadena alimentaria deben tener plan de prevencion, convenios de donacion y registro de cantidades desde el 2/04/2026","Restauracion organizada, colectividades y retail alimentario de +10 empleados","Responsable de calidad o propietario","Plantilla en Word y hoja de calculo","Obligaciones exigibles desde abril de 2026 y multas de 2.001 a 60.000 EUR","Generador de plan + registro mensual de cantidades","39-79 EUR/mes","Asociaciones provinciales de hosteleria",48,-10,38,alta,"Hosteleria de Espana publico una herramienta gratuita y las microempresas estan exentas del plan",DESCARTADO
ID-07,Verifactu Bridge,"Quien factura en Excel o con software antiguo debera emitir con registro encadenado y QR","Autonomos y pymes que facturan fuera de un ERP","Autonomo o administracion","Cualquier software de facturacion homologado","Ninguna: el plazo se aplazo a 2027","Emisor minimo compatible","9-19 EUR/mes","SEO y asesorias",45,-15,30,alta,"Mercado saturado por todos los fabricantes de ERP y TPV y plazo aplazado",DESCARTADO
ID-08,e-Factura Bridge,"Las pymes deberan emitir y recibir factura electronica estructurada EN16931","Pymes y autonomos","Administracion o gerencia","Solucion publica de facturacion y ERPs","La orden ministerial entra en vigor el 1/10/2026 pero la obligacion es de 2027-2028","Conversor y buzon de recepcion","19-49 EUR/mes","Asesorias",55,-18,37,alta,"Habra solucion publica gratuita y todos los ERPs lo incluiran de serie",RADAR
ID-09,Fichaje Digital,"Registro de jornada en papel o Excel ante un decreto que exigira acceso remoto de la Inspeccion","Pymes de 5-50 empleados","Gerencia","Excel, papel y decenas de apps de fichaje","El RD sigue sin publicarse (aplazado a septiembre de 2026)","App de fichaje con informe para Inspeccion","3-5 EUR/empleado/mes","SEO y asesorias laborales",50,-20,30,alta,"Categoria hipersaturada con actores financiados",DESCARTADO
