idea_id,prioridad,tipo,nicho,tipo_y_tamano,decisor,dolor_principal,herramientas_actuales,senales_publicas,donde_encontrar,directorio_o_enlace,oferta_inicial,mensaje_posicionamiento,objecion_previsible,precio_razonable,ciclo_comercial
ID-01,1,"nicho de entrada","Grupos de restauracion de 3-15 locales con delivery","Restauracion organizada, 15-120 empleados, >5.000 EUR/mes en plataformas","Propietario o director de operaciones","No sabe cuanto le descuentan las plataformas ni que puede reclamarlo","Excel o nada","Aparece en Glovo y Uber Eats con varios locales de la misma marca","Red personal del fundador y apps de delivery filtradas por ciudad","https://glovoapp.com/es/es/ y https://www.ubereats.com/es","Auditoria gratuita de 3 liquidaciones en 48 horas","Te decimos cuanto te han descontado mal y te dejamos la reclamacion escrita antes de que caduque","Ya me fio de lo que me liquidan / no tengo tiempo de sacar los ficheros","25-30% de lo recuperado, luego 49 EUR/local/mes + 20%","1-14 dias"
ID-01,2,"nicho secundario","Cocinas fantasma y operadores multimarca","Dark kitchens con 3-20 marcas virtuales","Fundador u operaciones","El 100% de sus ingresos pasa por plataformas: la fuga se multiplica","Hojas de calculo propias","Multiples marcas con la misma direccion en las apps","Busqueda de direcciones repetidas en las apps y notas de prensa del sector","https://www.hosteleriadigital.es/","Auditoria gratuita multimarca","Un solo informe con la comision efectiva real de todas tus marcas","Ya tenemos a alguien mirandolo","99-199 EUR/mes por marca","7-21 dias"
ID-01,3,"nicho secundario","Franquiciados multi-local de cadenas de comida rapida","Franquiciado con 3-10 unidades","Franquiciado propietario","Paga cargos por error en varios locales a la vez y no los agrega","Informes del franquiciador","Presencia de la misma marca con varios locales por ciudad","Asociaciones de franquiciados y ferias del sector","https://www.franquiciadores.com/","Auditoria de un local, gratis, extensible al resto","Lo que recuperamos en un local, multiplicado por todos los tuyos","La central ya lo controla","79-129 EUR/local/mes","14-30 dias"
ID-01,9,"anti-nicho","Locales unicos con menos de 2.000 EUR/mes en delivery","Bar o restaurante independiente","Propietario","El importe recuperable no cubre el servicio","Ninguna","-","-","-","No vender","-","-","-","-"
ID-01,9,"anti-nicho","Cadenas de mas de 50 locales","Gran cuenta","Direccion financiera","Tienen equipo financiero y condiciones negociadas","ERP corporativo","-","-","-","No vender en fase 1","-","Compra por concurso","-","6+ meses"
ID-01,5,"adaptacion internacional","Portugal e Italia antes que EE. UU.","Restauracion organizada","Propietario","Mismo contrato de Glovo y Uber Eats, sin competidor local equivalente","Excel","Las mismas plataformas operan en ambos mercados","Repetir el metodo por ciudad","https://glovoapp.com/pt/pt/ y https://www.ubereats.com/it","Auditoria gratuita","Mismo producto, traducido","Idioma y facturacion","Igual que Espana","1-30 dias"
ID-02,1,"nicho de entrada","Comercializadoras de electricidad y gas independientes","5-60 empleados, cartera residencial","Direccion general o cumplimiento","Obligadas por prestar servicio basico con independencia de su tamano; auditoria ENAC anual","Buzon de correo compartido y hojas de calculo","Figuran en el censo publico de la CNMC","Censo publico de comercializadoras de la CNMC","https://sede.cnmc.gob.es/listado/censo/2","Diagnostico de cumplimiento en 10 puntos por 300-500 EUR","Llega al 28 de diciembre con el expediente hecho","Ya cumplimos con la normativa sectorial de energia","149-349 EUR/mes + 600-1.200 EUR de implantacion","30-90 dias"
ID-02,2,"nicho secundario","Operadores locales de telecomunicaciones y fibra","10-100 empleados","Direccion general","Atencion 24/7 y plazos de respuesta con prueba documental","Ticketing generico o correo","Inscritos en el Registro de Operadores de la CNMC","Registro publico de operadores","https://www.cnmc.es/sectores-que-regulamos/telecomunicaciones/registro-de-operadores","Diagnostico de cumplimiento","Cada reclamacion con su clave, su reloj y su prueba","La carta de derechos del usuario ya nos obliga a algo parecido","149-299 EUR/mes","30-90 dias"
ID-02,3,"nicho secundario","Empresas de mas de 250 empleados que venden a consumidor","Retail, salud privada, gimnasios, formacion","Responsable de cumplimiento o atencion al cliente","Obligacion nueva desde cero y auditoria anual","CRM generalista","Tamano publicado en cuentas anuales y ofertas de empleo","LinkedIn por tamano de empresa y registros mercantiles","https://www.linkedin.com/","Diagnostico de cumplimiento","Auditoria ENAC sin sorpresas","Nos lo hace nuestra consultora","249-349 EUR/mes","60-120 dias"
ID-02,9,"anti-nicho","Empresas B2B puras sin consumidores","Cualquier tamano","-","No estan obligadas","-","-","-","-","No vender","-","-","-","-"
