idea_id,nombre,problema,nicho,comprador,alternativa,por_que_ahora,mvp,precio,canal,score_base,penalizaciones,score_final,confianza,riesgo,estado
N-04,PIXEL VIVO,"El 26/08/2026 Shopify elimina los scripts del checkout y el seguimiento de conversiones deja de funcionar en silencio: Meta y Google siguen gastando pero dejan de recibir datos","Tiendas Shopify espanolas con 3.000-30.000 EUR/mes de inversion publicitaria","Propietario de ecommerce o responsable de marketing","Agencia que lo revisa a mano, o nadie","Fecha limite el 26/08/2026 y bloqueo duro ya activo desde el 13/08/2026","Auditoria de eventos + comparador diario de pedidos Shopify frente a conversiones registradas en Meta y Google + alerta de desviacion","300-600 EUR de auditoria + 79-149 EUR/mes de vigilancia","Agencias como canal + deteccion tecnologica de tiendas Shopify + red propia",77,-13,64,media-baja,"La categoria de tracking esta saturada por actores financiados y el hueco es estrecho",FINALISTA
N-09,COBRO TALLER,"Los talleres dejan sin cobrar peritaciones y trabajos aprobados por aseguradoras porque nadie persigue el expediente","Talleres de chapa y pintura con 5-25 empleados","Propietario o jefe de taller","Hoja de calculo y llamadas","Ninguna razon nueva verificada: dolor estructural","Registro de expedientes con aseguradora, plazos y avisos de impago","79-149 EUR/mes o porcentaje de lo recuperado","Asociaciones de talleres y distribuidores de recambios",66,-12,54,baja,"La evidencia disponible procede de blogs de proveedores de software, no de talleres",VIGILAR
N-06,RESENA VIVA,"Google elimina resenas reales sin avisar y endurece la politica en 2026: un negocio puede perder resenas o el perfil sin enterarse","Cadenas locales y franquicias con 5-50 ubicaciones","Responsable de marketing o propietario","Revision manual del perfil","Politica endurecida en 2026 y aumento de eliminaciones automatizadas","Captura periodica de resenas por ubicacion, deteccion de desapariciones y alerta de riesgo de politica","49-99 EUR/mes por marca","Agencias locales y franquiciadores",62,-12,50,baja,"BrightLocal, Localo y Partoo ya monitorizan resenas; el hueco es solo la deteccion de borrados",VIGILAR
N-12,AMAZON RECOVERY,"Los vendedores no reclaman reembolsos por inventario perdido o danado ni verifican las tarifas aplicadas","Vendedores FBA espanoles con mas de 20.000 EUR/mes","Propietario de la cuenta","Servicios de recuperacion internacionales (GETIDA y similares)","En contra: Amazon BAJO tarifas en 2026, con lo que el dolor disminuye","Importador de informes de Amazon y detector de discrepancias","25% de lo recuperado","Comunidades de vendedores",62,-16,46,baja,"Amazon reembolsa automaticamente cada vez mas casos y ha bajado tarifas",DESCARTADO
N-08,TRIPLE COTEJO,"Las empresas contratan personal para cotejar albaranes con pedidos y facturas de proveedor","Distribucion y construccion de 20-200 empleados","Direccion financiera o administracion","Contratar a una persona temporal","Ninguna razon nueva","OCR de albaranes y cotejo a tres bandas","149-299 EUR/mes","Asesorias y distribuidores de ERP",58,-12,46,media,"Categoria consolidada: Tickelia, Captio, Klippa, Docuten y los propios ERP",DESCARTADO
N-03,DECA CARGADOR,"El cargador contractual es corresponsable de formalizar el DeCA pero los proveedores venden al transportista","Industrias y distribuidores que contratan transporte","Responsable de logistica","El TMS del transportista o nada","Obligacion desde el 5/10/2026","Emision de DeCA desde el lado del cargador","49-149 EUR/mes","Asociaciones industriales",60,-16,44,media,"Los mismos 12 proveedores cubren ya ambos lados de la operacion",DESCARTADO
N-01,DECA MERCANCIAS,"101.326 empresas de transporte publico deben emitir el documento de control en digital y solo el 17% se considera preparado","Transportistas autonomos y flotas de 1-10 vehiculos","Titular de la autorizacion","Papel hasta el 5/10/2026","Fecha limite 5/10/2026 sin fase sin sancion, con inmovilizacion de vehiculo y carga","Formulario, PDF con QR y repositorio publico de descarga","9-19 EUR/mes","Asociaciones de transportistas y talleres de tacografo",70,-28,42,alta,"12+ proveedores ya en mercado, uno a 9,90 EUR/mes y otro gratis hasta la fecha limite",DESCARTADO
N-02,HOJA DE RUTA BUS,"Las empresas de autobus discrecional deben digitalizar la hoja de ruta el 5/10/2026","Empresas de autocares discrecional y turistico","Gerente","Papel","Misma fecha limite y menos ruido de proveedores que en mercancias","Formulario de 6 campos, PDF con QR y repositorio","19-39 EUR/mes","CONFEBUS y federaciones territoriales",68,-30,38,alta,"CONFEBUS, la patronal del sector, ya ha lanzado RutaBUS para sus ~2.000 asociados",DESCARTADO
N-10,CITA SEGURA,"Las clinicas pierden facturacion por citas no presentadas","Clinicas dentales y de fisioterapia","Propietario","Recordatorios por WhatsApp incluidos en su software","Ninguna razon nueva","Recordatorios y lista de espera automatica","70-180 EUR/mes","Distribuidores dentales",55,-18,37,baja,"Mercado saturado por asistentes de voz con IA y por el propio software de gestion clinica",DESCARTADO
N-07,COSTE WHATSAPP,"Meta cobra por plantilla entregada desde julio de 2025 y las empresas pagan de mas por categorizar mal los mensajes","Pymes con alto volumen de mensajeria","Responsable de marketing","Su proveedor actual de WhatsApp","Cambio de modelo de precio ya asentado","Auditor de plantillas y recategorizacion","29-59 EUR/mes","Agencias",48,-12,36,media,"El ahorro absoluto es de decenas de euros al mes: no sostiene un producto",DESCARTADO
N-05,TALLER 360,"Los talleres gestionan citas por telefono y facturan con hojas de calculo","Talleres mecanicos independientes","Propietario","ERP de taller ya existentes","Ninguna razon nueva","Agenda y presupuestos","49-99 EUR/mes","Distribuidores de recambios",50,-14,36,baja,"Docenas de ERP verticales consolidados con modulo Verifactu incluido",DESCARTADO
