source_id,url,titulo,fecha_publicacion,fecha_consulta,pais,tipo_fuente,señal,apoya,refuta,fiabilidad
B2-S01,https://www.transportes.gob.es/transporte-terrestre/profesionales-transporte/servicios-transportista/documento-electronico-control-administrativo-deca/preguntas-frecuentes-faq-deca,"Preguntas frecuentes (FAQ) DeCA - Ministerio de Transportes y Movilidad Sostenible",2026,2026-08-12,ES,"organismo oficial/fuente primaria","Obligatorio 5/10/2026 sin fase sin sancion; el Ministerio NO ofrece aplicacion; PDF con QR en repositorio descargable; firma NO obligatoria; exentos paqueteria y transporte privado complementario; datos minimos de mercancias y viajeros",N-01;N-02,"N-15;N-16;N-17;N-18",alta
B2-S02,https://www.transportes.gob.es/transporte-terrestre/profesionales-transporte/servicios-transportista/documento-electronico-control-administrativo-deca,"Documento electronico de Control Administrativo (DeCA)",2026,2026-08-12,ES,"organismo oficial","Pagina oficial del DeCA (bloquea lectura automatica, HTTP 403)",N-01,,alta
B2-S03,https://nexotrans.com/confebus-lanza-rutabus-para-facilitar-la-hoja-electronica-de-ruta-obligatoria/,"Confebus lanza RutaBUS para facilitar la hoja electronica de ruta obligatoria",2026,2026-08-12,ES,"prensa sectorial","La patronal del autobus lanza su propia herramienta para la hoja de ruta digital",,N-02,alta
B2-S04,https://confebus.org/conocenos/presentacion,"CONFEBUS - Presentacion",n/d,2026-08-12,ES,"asociacion sectorial","Mas de 30 organizaciones federadas, ~2.000 empresas asociadas, mas del 70% de representatividad del sector",,N-02,alta
B2-S05,https://trazaqr.com/,"TrazaQR Transporte - DeCA con QR obligatorio desde oct 2026",2026,2026-08-12,ES,"competidor","Plan autonomo 9,90 EUR/mes hasta 75 expediciones; 0,13 EUR/expedicion",,N-01,media
B2-S06,https://pretiumgestion.com/documento-control-digital/,"Plataforma DeCA - Pretium Gestion",2026,2026-08-12,ES,"competidor","Acceso gratuito hasta el 2 de octubre de 2026, sin permanencia",,N-01,media
B2-S07,https://digitaldocu.es/dca-electronico,"DeCA y Albaran Electronico Obligatorio 2026 - Digitaldocu",2026,2026-08-12,ES,"competidor","Solucion desde 100 EUR/mes",,N-01,media
B2-S08,https://www.dashdoc.com/es/deca,"DeCA Espana 2026 - preparate antes del 5 de octubre (Dashdoc)",2026,2026-08-12,ES/FR,"competidor","TMS europeo posicionado sobre la fecha limite",,N-01,media
B2-S09,https://www.fenadismerencarretera.com/novedades-en-la-regulacion-del-documento-de-control-electronico-obligatorio-a-partir-de-octubre/,"Novedades en la regulacion del documento de control electronico obligatorio - Fenadismer",2026,2026-08-12,ES,"asociacion sectorial","Estudio Fenadismer-Continental (oct-2025, n=750): solo el 17% se considera preparado; 35% mal preparado, 23% nada",N-01,,media-alta
B2-S10,https://www.cadenadesuministro.es/transporte-carretera/transporte-mercancias-por-carretera-ha-ganado-490-empresas-en-abril_1515928_102.html,"Transporte de mercancias: numero de empresas, abril-mayo 2026",2026,2026-08-12,ES,"prensa sectorial","154.101 empresas totales a 1/05/2026; 101.326 de transporte publico; 62.272 con vehiculos pesados; 52.775 privado complementario",N-01,,media-alta
